fund_house	quarter	aum_crore	num_schemes
HDFC Mutual Fund	31-03-2025	1004328	77
HDFC Mutual Fund	30-06-2025	1101758	43
HDFC Mutual Fund	30-09-2025	1203843	36
HDFC Mutual Fund	31-12-2025	930000	38
Nippon India Mutual Fund	31-03-2022	201442	73
Nippon India Mutual Fund	30-06-2022	210596	44
Nippon India Mutual Fund	30-09-2022	224874	61
Nippon India Mutual Fund	31-12-2022	246084	49
Nippon India Mutual Fund	31-03-2023	262845	70
Nippon India Mutual Fund	30-06-2023	279853	69
Nippon India Mutual Fund	30-09-2023	299144	55
Nippon India Mutual Fund	31-12-2023	323594	36
Nippon India Mutual Fund	31-03-2024	344136	56
Nippon India Mutual Fund	30-06-2024	367158	61
Nippon India Mutual Fund	30-09-2024	390977	38
Nippon India Mutual Fund	31-12-2024	418613	73
Nippon India Mutual Fund	31-03-2025	439766	50
Nippon India Mutual Fund	30-06-2025	472044	78
Nippon India Mutual Fund	30-09-2025	509936	62
Nippon India Mutual Fund	31-12-2025	420000	46
Kotak Mahindra Mutual Fund	31-03-2022	181773	78
Kotak Mahindra Mutual Fund	30-06-2022	199669	38
Kotak Mahindra Mutual Fund	30-09-2022	215731	30
Kotak Mahindra Mutual Fund	31-12-2022	228804	63
Kotak Mahindra Mutual Fund	31-03-2023	250979	74
Kotak Mahindra Mutual Fund	30-06-2023	267589	50
Kotak Mahindra Mutual Fund	30-09-2023	279267	50
Kotak Mahindra Mutual Fund	31-12-2023	303698	59
Kotak Mahindra Mutual Fund	31-03-2024	322489	58
Kotak Mahindra Mutual Fund	30-06-2024	342330	45
Kotak Mahindra Mutual Fund	30-09-2024	361410	79
Kotak Mahindra Mutual Fund	31-12-2024	395711	52
Kotak Mahindra Mutual Fund	31-03-2025	413045	34
Kotak Mahindra Mutual Fund	30-06-2025	435135	60
Kotak Mahindra Mutual Fund	30-09-2025	477508	36
Kotak Mahindra Mutual Fund	31-12-2025	380000	56
Axis Mutual Fund	31-03-2022	134206	63
Axis Mutual Fund	30-06-2022	140306	69
Axis Mutual Fund	30-09-2022	151364	77
Axis Mutual Fund	31-12-2022	161505	33
Axis Mutual Fund	31-03-2023	168582	74
Axis Mutual Fund	30-06-2023	177742	42
Axis Mutual Fund	30-09-2023	194533	76
Axis Mutual Fund	31-12-2023	209590	56
Axis Mutual Fund	31-03-2024	228332	52
Axis Mutual Fund	30-06-2024	243797	56
Axis Mutual Fund	30-09-2024	267882	35
Axis Mutual Fund	31-12-2024	285031	53
Axis Mutual Fund	31-03-2025	312041	34
Axis Mutual Fund	30-06-2025	338233	58
Axis Mutual Fund	30-09-2025	356440	64
Axis Mutual Fund	31-12-2025	280000	48
Mirae Asset Mutual Fund	31-03-2022	91633	48
Mirae Asset Mutual Fund	30-06-2022	100411	70
Mirae Asset Mutual Fund	30-09-2022	104916	45
Mirae Asset Mutual Fund	31-12-2022	113617	69
Mirae Asset Mutual Fund	31-03-2023	123378	57
Mirae Asset Mutual Fund	30-06-2023	131658	77
Mirae Asset Mutual Fund	30-09-2023	141281	55
Mirae Asset Mutual Fund	31-12-2023	151978	77
Mirae Asset Mutual Fund	31-03-2024	161096	62
Mirae Asset Mutual Fund	30-06-2024	173910	38
Mirae Asset Mutual Fund	30-09-2024	188978	70
Mirae Asset Mutual Fund	31-12-2024	204381	40
Mirae Asset Mutual Fund	31-03-2025	213007	65
Mirae Asset Mutual Fund	30-06-2025	224777	71
Mirae Asset Mutual Fund	30-09-2025	240971	62
Mirae Asset Mutual Fund	31-12-2025	195000	72
DSP Mutual Fund	31-03-2022	69807	62
DSP Mutual Fund	30-06-2022	73691	69
DSP Mutual Fund	30-09-2022	78460	69
DSP Mutual Fund	31-12-2022	85607	46
DSP Mutual Fund	31-03-2023	93724	56
DSP Mutual Fund	30-06-2023	100305	73
DSP Mutual Fund	30-09-2023	106591	55
DSP Mutual Fund	31-12-2023	111965	58
DSP Mutual Fund	31-03-2024	121677	34
DSP Mutual Fund	30-06-2024	132135	39
DSP Mutual Fund	30-09-2024	138607	60
DSP Mutual Fund	31-12-2024	145756	72
DSP Mutual Fund	31-03-2025	158598	30
DSP Mutual Fund	30-06-2025	165636	45
DSP Mutual Fund	30-09-2025	173728	63
DSP Mutual Fund	31-12-2025	145000	38
UTI Mutual Fund	31-03-2022	136925	53
UTI Mutual Fund	30-06-2022	150006	51
UTI Mutual Fund	30-09-2022	161402	36
UTI Mutual Fund	31-12-2022	176021	58
UTI Mutual Fund	31-03-2023	192942	68
UTI Mutual Fund	30-06-2023	201319	30
UTI Mutual Fund	30-09-2023	213463	40
UTI Mutual Fund	31-12-2023	222907	62
UTI Mutual Fund	31-03-2024	237488	49
UTI Mutual Fund	30-06-2024	248971	63
UTI Mutual Fund	30-09-2024	265669	36
UTI Mutual Fund	31-12-2024	278798	65
UTI Mutual Fund	31-03-2025	304127	77
UTI Mutual Fund	30-06-2025	332446	63
UTI Mutual Fund	30-09-2025	356127	39
UTI Mutual Fund	31-12-2025	280000	61
Aditya Birla Sun Life Mutual Fund	31-03-2022	167068	31
Aditya Birla Sun Life Mutual Fund	30-06-2022	177069	70
Aditya Birla Sun Life Mutual Fund	30-09-2022	189076	40
Aditya Birla Sun Life Mutual Fund	31-12-2022	204430	64
Aditya Birla Sun Life Mutual Fund	31-03-2023	217306	44
Aditya Birla Sun Life Mutual Fund	30-06-2023	234074	66
Aditya Birla Sun Life Mutual Fund	30-09-2023	256695	32
Aditya Birla Sun Life Mutual Fund	31-12-2023	281831	62
Aditya Birla Sun Life Mutual Fund	31-03-2024	298334	69
Aditya Birla Sun Life Mutual Fund	30-06-2024	326103	74
Aditya Birla Sun Life Mutual Fund	30-09-2024	339553	52
Aditya Birla Sun Life Mutual Fund	31-12-2024	364880	38
Aditya Birla Sun Life Mutual Fund	31-03-2025	389763	56
Aditya Birla Sun Life Mutual Fund	30-06-2025	423848	30
Aditya Birla Sun Life Mutual Fund	30-09-2025	459232	33
Aditya Birla Sun Life Mutual Fund	31-12-2025	340000	39
