investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV000003,06-07-2022,118632,SIP,5000,Telangana,Hyderabad,T30,46-55,Female,31.3,UPI,Verified
INV000003,09-07-2025,120505,Lumpsum,100000,Telangana,Hyderabad,T30,46-55,Female,31.3,Cheque,Verified
INV000003,11-05-2022,120509,Lumpsum,10000,Telangana,Hyderabad,T30,46-55,Female,31.3,Cheque,Verified
INV000003,16-08-2024,119003,SIP,3000,Telangana,Hyderabad,T30,46-55,Female,31.3,Cheque,Verified
INV000003,24-01-2022,120716,Redemption,500,Telangana,Hyderabad,T30,46-55,Female,31.3,Net Banking,Verified
INV000003,05-08-2025,125360,SIP,10000,Telangana,Hyderabad,T30,46-55,Female,31.3,Net Banking,Verified
INV000003,09-06-2024,120505,Lumpsum,25000,Telangana,Hyderabad,T30,46-55,Female,31.3,UPI,Verified
INV000004,04-09-2023,119002,Redemption,3000,Karnataka,Indore,B30,36-45,Female,17.9,UPI,Verified
INV000004,10-11-2022,119553,SIP,5000,Karnataka,Indore,B30,36-45,Female,17.9,Cheque,Verified
INV000004,22-12-2024,125497,Redemption,100000,Karnataka,Indore,B30,36-45,Female,17.9,Net Banking,Verified
INV000004,27-09-2024,119551,SIP,1000,Karnataka,Indore,B30,36-45,Female,17.9,Net Banking,Verified
INV000004,22-09-2023,125358,SIP,3000,Karnataka,Indore,B30,36-45,Female,17.9,UPI,Verified
INV000004,07-03-2025,120841,SIP,100000,Karnataka,Indore,B30,36-45,Female,17.9,Mandate,Verified
INV000005,05-12-2022,125496,Redemption,25000,Karnataka,Ahmedabad,T30,18-25,Female,26.9,Cheque,Pending
INV000005,16-05-2024,125356,Redemption,5000,Karnataka,Ahmedabad,T30,18-25,Female,26.9,UPI,Pending
INV000005,31-12-2025,118991,Lumpsum,3000,Karnataka,Ahmedabad,T30,18-25,Female,26.9,Net Banking,Pending
INV000005,16-06-2024,119003,Lumpsum,2000,Karnataka,Ahmedabad,T30,18-25,Female,26.9,UPI,Pending
INV000005,23-05-2023,120717,SIP,1000,Karnataka,Ahmedabad,T30,18-25,Female,26.9,Net Banking,Pending
INV000005,13-02-2022,119007,Redemption,25000,Karnataka,Ahmedabad,T30,18-25,Female,26.9,UPI,Pending
INV000005,20-04-2025,120717,SIP,5000,Karnataka,Ahmedabad,T30,18-25,Female,26.9,UPI,Pending
INV000005,20-12-2025,118632,SIP,500,Karnataka,Ahmedabad,T30,18-25,Female,26.9,UPI,Pending
INV000006,21-09-2024,125356,Redemption,25000,Delhi,Vadodara,B30,18-25,Male,21.9,UPI,Verified
INV000006,15-03-2025,119006,Lumpsum,5000,Delhi,Vadodara,B30,18-25,Male,21.9,UPI,Verified
INV000006,26-08-2024,125501,SIP,500,Delhi,Vadodara,B30,18-25,Male,21.9,UPI,Verified
INV000006,18-07-2022,119555,SIP,5000,Delhi,Vadodara,B30,18-25,Male,21.9,Mandate,Verified
INV000006,21-04-2024,120850,SIP,50000,Delhi,Vadodara,B30,18-25,Male,21.9,UPI,Verified
INV000006,05-05-2022,125362,SIP,3000,Delhi,Vadodara,B30,18-25,Male,21.9,UPI,Verified
INV000006,25-05-2023,120846,SIP,5000,Delhi,Vadodara,B30,18-25,Male,21.9,Cheque,Verified
INV000006,07-07-2024,125494,Lumpsum,50000,Delhi,Vadodara,B30,18-25,Male,21.9,UPI,Verified
INV000006,25-07-2023,120850,SIP,5000,Delhi,Vadodara,B30,18-25,Male,21.9,UPI,Verified
INV000006,26-06-2024,119005,SIP,3000,Delhi,Vadodara,B30,18-25,Male,21.9,UPI,Verified
INV000007,12-09-2024,125356,Lumpsum,10000,Delhi,Bengaluru,T30,56+,Male,39.3,UPI,Verified
INV000007,04-12-2022,120509,SIP,500,Delhi,Bengaluru,T30,56+,Male,39.3,Mandate,Verified
INV000007,28-06-2023,120850,SIP,3000,Delhi,Bengaluru,T30,56+,Male,39.3,Mandate,Verified
INV000007,27-11-2025,119005,Lumpsum,500,Delhi,Bengaluru,T30,56+,Male,39.3,UPI,Verified
INV000007,24-01-2023,120507,SIP,10000,Delhi,Bengaluru,T30,56+,Male,39.3,UPI,Verified
INV000007,01-04-2025,119004,SIP,50000,Delhi,Bengaluru,T30,56+,Male,39.3,Net Banking,Verified
INV000008,23-12-2024,120505,SIP,1000,Andhra Pradesh,Surat,T30,18-25,Male,20.1,Cheque,Verified
INV000008,14-06-2022,118989,SIP,5000,Andhra Pradesh,Surat,T30,18-25,Male,20.1,Cheque,Verified
INV000008,20-05-2022,125358,Lumpsum,2000,Andhra Pradesh,Surat,T30,18-25,Male,20.1,UPI,Verified
INV000008,12-03-2025,125358,Redemption,25000,Andhra Pradesh,Surat,T30,18-25,Male,20.1,Cheque,Verified
INV000008,23-03-2022,119009,SIP,100000,Andhra Pradesh,Surat,T30,18-25,Male,20.1,Mandate,Verified
INV000008,08-09-2025,119007,Redemption,500,Andhra Pradesh,Surat,T30,18-25,Male,20.1,Cheque,Verified
INV000008,10-10-2023,125496,SIP,50000,Andhra Pradesh,Surat,T30,18-25,Male,20.1,Net Banking,Verified
INV000008,04-05-2023,125496,Lumpsum,3000,Andhra Pradesh,Surat,T30,18-25,Male,20.1,UPI,Verified
INV000008,07-10-2025,118991,Lumpsum,5000,Andhra Pradesh,Surat,T30,18-25,Male,20.1,Net Banking,Verified
INV000008,29-05-2022,125497,Lumpsum,500,Andhra Pradesh,Surat,T30,18-25,Male,20.1,Cheque,Verified
INV000009,29-09-2022,125499,SIP,50000,Delhi,Vadodara,B30,56+,Male,28.4,UPI,Verified
INV000009,27-01-2024,120507,SIP,10000,Delhi,Vadodara,B30,56+,Male,28.4,Mandate,Verified
INV000009,17-01-2025,118991,Redemption,100000,Delhi,Vadodara,B30,56+,Male,28.4,Cheque,Verified
INV000009,17-01-2022,119005,SIP,3000,Delhi,Vadodara,B30,56+,Male,28.4,UPI,Verified
INV000009,03-10-2022,125496,SIP,10000,Delhi,Vadodara,B30,56+,Male,28.4,UPI,Verified
INV000009,07-02-2025,119847,SIP,2000,Delhi,Vadodara,B30,56+,Male,28.4,Net Banking,Verified
INV000009,23-05-2025,125356,SIP,1000,Delhi,Vadodara,B30,56+,Male,28.4,UPI,Verified
INV000009,08-11-2025,125496,Redemption,100000,Delhi,Vadodara,B30,56+,Male,28.4,Mandate,Verified
INV000009,30-05-2023,118632,SIP,5000,Delhi,Vadodara,B30,56+,Male,28.4,Mandate,Verified
INV000009,21-07-2023,120503,SIP,1000,Delhi,Vadodara,B30,56+,Male,28.4,Net Banking,Verified
INV000010,25-05-2024,119005,SIP,5000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,UPI,Verified
INV000010,04-06-2022,119847,Redemption,1000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,UPI,Verified
INV000010,27-01-2024,119007,Redemption,25000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,UPI,Verified
INV000010,30-05-2024,125494,SIP,5000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,Net Banking,Verified
INV000010,17-01-2024,120503,SIP,1000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,UPI,Verified
INV000010,28-10-2025,125358,SIP,10000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,Net Banking,Verified
INV000010,20-02-2025,125501,Redemption,25000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,UPI,Verified
INV000010,30-04-2023,120505,SIP,50000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,Mandate,Verified
INV000010,20-02-2022,118989,SIP,2000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,Mandate,Verified
INV000010,03-10-2025,125358,SIP,3000,Gujarat,Ahmedabad,T30,26-35,Female,11.9,UPI,Verified
INV000011,31-07-2024,125499,SIP,10000,Maharashtra,Chennai,T30,18-25,Male,18.9,UPI,Verified
INV000011,02-04-2023,119551,SIP,100000,Maharashtra,Chennai,T30,18-25,Male,18.9,Mandate,Verified
INV000011,04-11-2023,119849,SIP,5000,Maharashtra,Chennai,T30,18-25,Male,18.9,Net Banking,Verified
INV000011,21-12-2023,119002,Lumpsum,1000,Maharashtra,Chennai,T30,18-25,Male,18.9,Cheque,Verified
INV000011,10-11-2023,119551,SIP,1000,Maharashtra,Chennai,T30,18-25,Male,18.9,Net Banking,Verified
INV000012,09-12-2023,120848,Lumpsum,3000,Gujarat,Delhi,T30,26-35,Female,8.8,Cheque,Verified
INV000012,13-11-2024,120716,Lumpsum,100000,Gujarat,Delhi,T30,26-35,Female,8.8,Cheque,Verified
INV000012,25-01-2023,125496,SIP,100000,Gujarat,Delhi,T30,26-35,Female,8.8,Mandate,Verified
INV000012,04-01-2022,119003,Redemption,10000,Gujarat,Delhi,T30,26-35,Female,8.8,UPI,Verified
INV000012,16-01-2024,119555,SIP,5000,Gujarat,Delhi,T30,26-35,Female,8.8,Net Banking,Verified
INV000012,30-06-2025,120848,SIP,25000,Gujarat,Delhi,T30,26-35,Female,8.8,Net Banking,Verified
INV000012,04-11-2024,118991,Lumpsum,5000,Gujarat,Delhi,T30,26-35,Female,8.8,Net Banking,Verified
INV000012,04-04-2024,120507,Redemption,100000,Gujarat,Delhi,T30,26-35,Female,8.8,UPI,Verified
INV000012,28-01-2023,125501,Lumpsum,100000,Gujarat,Delhi,T30,26-35,Female,8.8,UPI,Verified
INV000013,15-09-2023,120507,SIP,500,Gujarat,Surat,T30,56+,Female,11.1,Mandate,Verified
INV000013,02-04-2025,119008,SIP,3000,Gujarat,Surat,T30,56+,Female,11.1,Mandate,Verified
INV000013,23-06-2024,120511,SIP,2000,Gujarat,Surat,T30,56+,Female,11.1,Cheque,Verified
INV000013,27-08-2024,120505,SIP,500,Gujarat,Surat,T30,56+,Female,11.1,Net Banking,Verified
INV000013,21-11-2024,119009,SIP,3000,Gujarat,Surat,T30,56+,Female,11.1,UPI,Verified
INV000013,27-04-2023,118991,SIP,25000,Gujarat,Surat,T30,56+,Female,11.1,UPI,Verified
INV000014,30-05-2022,120850,Lumpsum,25000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,Cheque,Verified
INV000014,03-02-2023,120509,Lumpsum,10000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,Mandate,Verified
INV000014,15-05-2023,119847,SIP,100000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,UPI,Verified
INV000014,20-05-2024,120717,SIP,1000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,Cheque,Verified
INV000014,09-08-2024,118632,Redemption,10000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,UPI,Verified
INV000014,06-09-2022,120850,SIP,10000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,Mandate,Verified
INV000014,29-09-2025,119003,Redemption,10000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,Cheque,Verified
INV000014,12-10-2023,120511,Redemption,2000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,Cheque,Verified
INV000014,23-05-2024,119005,Lumpsum,10000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,UPI,Verified
INV000014,30-08-2024,120511,SIP,100000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,UPI,Verified
INV000014,29-07-2025,119849,Redemption,2000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,Mandate,Verified
INV000014,07-07-2025,125358,SIP,1000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,Mandate,Verified
INV000014,08-06-2022,120507,SIP,50000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,Net Banking,Verified
INV000014,19-11-2023,120848,Redemption,2000,Maharashtra,Ahmedabad,T30,26-35,Male,39.2,UPI,Verified
INV000015,12-05-2022,125501,Lumpsum,5000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,Net Banking,Verified
INV000015,16-01-2025,120850,Lumpsum,5000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,UPI,Verified
INV000015,28-02-2023,125501,Lumpsum,1000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,Cheque,Verified
INV000015,25-11-2025,119551,Redemption,1000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,Mandate,Verified
INV000015,03-09-2024,125497,SIP,10000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,Net Banking,Verified
INV000015,09-03-2024,125501,Redemption,1000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,Cheque,Verified
INV000015,20-05-2025,120717,Lumpsum,10000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,UPI,Verified
INV000015,13-07-2023,119555,Lumpsum,25000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,UPI,Verified
INV000015,07-03-2024,125360,Lumpsum,3000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,UPI,Verified
INV000015,15-08-2024,125494,Redemption,3000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,Cheque,Verified
INV000015,25-02-2022,125362,Redemption,2000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,Cheque,Verified
INV000015,19-09-2025,119551,SIP,500,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,Mandate,Verified
INV000015,05-10-2022,120850,SIP,3000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,UPI,Verified
INV000015,17-06-2023,120509,SIP,2000,Tamil Nadu,Bengaluru,T30,26-35,Male,17.1,UPI,Verified
INV000016,13-05-2024,125496,SIP,2000,Rajasthan,Hyderabad,T30,46-55,Male,38.2,Mandate,Verified
INV000016,09-02-2022,119004,SIP,2000,Rajasthan,Hyderabad,T30,46-55,Male,38.2,Net Banking,Verified
INV000016,05-04-2023,119092,SIP,10000,Rajasthan,Hyderabad,T30,46-55,Male,38.2,UPI,Verified
INV000016,22-05-2023,120846,SIP,3000,Rajasthan,Hyderabad,T30,46-55,Male,38.2,Cheque,Verified
INV000016,09-11-2022,125358,SIP,50000,Rajasthan,Hyderabad,T30,46-55,Male,38.2,Mandate,Verified
INV000016,03-10-2025,120716,Redemption,2000,Rajasthan,Hyderabad,T30,46-55,Male,38.2,UPI,Verified
INV000016,10-08-2024,125496,SIP,5000,Rajasthan,Hyderabad,T30,46-55,Male,38.2,UPI,Verified
INV000016,25-05-2025,119008,SIP,500,Rajasthan,Hyderabad,T30,46-55,Male,38.2,UPI,Verified
INV000016,30-09-2023,125354,Redemption,500,Rajasthan,Hyderabad,T30,46-55,Male,38.2,UPI,Verified
INV000017,11-02-2023,119092,Redemption,500,Pune,Kolkata,T30,36-45,Female,35.4,UPI,Pending
INV000017,28-07-2022,118991,Redemption,10000,Pune,Kolkata,T30,36-45,Female,35.4,UPI,Pending
INV000017,05-03-2025,120503,SIP,1000,Pune,Kolkata,T30,36-45,Female,35.4,Cheque,Pending
INV000017,27-05-2024,119553,SIP,500,Pune,Kolkata,T30,36-45,Female,35.4,Cheque,Pending
INV000017,19-08-2025,125360,SIP,5000,Pune,Kolkata,T30,36-45,Female,35.4,Mandate,Pending
INV000017,30-09-2024,125354,Lumpsum,5000,Pune,Kolkata,T30,36-45,Female,35.4,Net Banking,Pending
INV000017,25-07-2025,120850,SIP,1000,Pune,Kolkata,T30,36-45,Female,35.4,Mandate,Pending
INV000017,27-12-2022,119003,SIP,5000,Pune,Kolkata,T30,36-45,Female,35.4,Cheque,Pending
INV000017,07-01-2025,119000,Lumpsum,25000,Pune,Kolkata,T30,36-45,Female,35.4,Mandate,Pending
INV000018,12-07-2024,125358,Lumpsum,10000,Rajasthan,Delhi,T30,56+,Male,16.7,Cheque,Verified
INV000018,03-06-2025,120509,SIP,50000,Rajasthan,Delhi,T30,56+,Male,16.7,UPI,Verified
INV000018,09-10-2024,120848,SIP,100000,Rajasthan,Delhi,T30,56+,Male,16.7,Mandate,Verified
INV000018,11-03-2023,125499,SIP,50000,Rajasthan,Delhi,T30,56+,Male,16.7,Net Banking,Verified
INV000018,27-07-2023,119008,SIP,25000,Rajasthan,Delhi,T30,56+,Male,16.7,Cheque,Verified
INV000018,21-01-2022,119003,SIP,100000,Rajasthan,Delhi,T30,56+,Male,16.7,UPI,Verified
INV000018,10-05-2023,125501,Lumpsum,100000,Rajasthan,Delhi,T30,56+,Male,16.7,Cheque,Verified
INV000019,05-02-2022,120841,SIP,50000,Telangana,Lucknow,B30,26-35,Female,36.4,UPI,Verified
INV000019,08-04-2024,125358,SIP,2000,Telangana,Lucknow,B30,26-35,Female,36.4,Cheque,Verified
INV000019,26-01-2024,119000,Redemption,500,Telangana,Lucknow,B30,26-35,Female,36.4,Cheque,Verified
INV000019,06-12-2023,119555,Redemption,3000,Telangana,Lucknow,B30,26-35,Female,36.4,Net Banking,Verified
INV000019,22-12-2023,120850,SIP,100000,Telangana,Lucknow,B30,26-35,Female,36.4,Net Banking,Verified
INV000020,02-01-2025,118989,SIP,2000,Delhi,Vadodara,B30,36-45,Male,11.8,UPI,Verified
INV000020,18-09-2024,119849,Redemption,2000,Delhi,Vadodara,B30,36-45,Male,11.8,Cheque,Verified
INV000020,07-05-2025,120507,SIP,25000,Delhi,Vadodara,B30,36-45,Male,11.8,UPI,Verified
INV000020,30-08-2023,120717,SIP,5000,Delhi,Vadodara,B30,36-45,Male,11.8,UPI,Verified
INV000020,12-09-2023,125497,Redemption,2000,Delhi,Vadodara,B30,36-45,Male,11.8,UPI,Verified
INV000020,16-07-2023,120503,SIP,500,Delhi,Vadodara,B30,36-45,Male,11.8,Cheque,Verified
INV000020,22-08-2023,125494,Lumpsum,100000,Delhi,Vadodara,B30,36-45,Male,11.8,UPI,Verified
INV000020,26-01-2022,119006,SIP,5000,Delhi,Vadodara,B30,36-45,Male,11.8,Mandate,Verified
INV000021,05-09-2024,120716,SIP,100000,Rajasthan,Mumbai,T30,46-55,Male,11.8,Mandate,Verified
INV000021,04-10-2024,119092,Redemption,3000,Rajasthan,Mumbai,T30,46-55,Male,11.8,UPI,Verified
INV000021,07-11-2022,119847,Redemption,5000,Rajasthan,Mumbai,T30,46-55,Male,11.8,Net Banking,Verified
INV000021,24-06-2022,125358,SIP,2000,Rajasthan,Mumbai,T30,46-55,Male,11.8,Cheque,Verified
INV000021,02-05-2024,119008,Redemption,25000,Rajasthan,Mumbai,T30,46-55,Male,11.8,Cheque,Verified
INV000021,08-04-2023,119003,Lumpsum,500,Rajasthan,Mumbai,T30,46-55,Male,11.8,Mandate,Verified
INV000021,25-06-2024,118991,Redemption,50000,Rajasthan,Mumbai,T30,46-55,Male,11.8,Mandate,Verified
INV000021,18-09-2023,119006,Redemption,2000,Rajasthan,Mumbai,T30,46-55,Male,11.8,UPI,Verified
INV000021,02-06-2025,125354,SIP,3000,Rajasthan,Mumbai,T30,46-55,Male,11.8,UPI,Verified
INV000022,03-06-2022,120505,SIP,25000,Delhi,Chennai,T30,36-45,Female,17.4,Mandate,Verified
INV000022,11-07-2024,119008,Lumpsum,25000,Delhi,Chennai,T30,36-45,Female,17.4,Net Banking,Verified
INV000022,08-03-2022,120717,SIP,3000,Delhi,Chennai,T30,36-45,Female,17.4,Net Banking,Verified
INV000022,10-12-2025,120850,SIP,10000,Delhi,Chennai,T30,36-45,Female,17.4,UPI,Verified
INV000022,26-06-2023,119007,SIP,50000,Delhi,Chennai,T30,36-45,Female,17.4,Mandate,Verified
INV000022,24-08-2022,119004,SIP,3000,Delhi,Chennai,T30,36-45,Female,17.4,UPI,Verified
INV000023,03-05-2025,119006,SIP,1000,Delhi,Bengaluru,T30,36-45,Male,10.0,Mandate,Verified
INV000023,12-09-2022,120850,SIP,2000,Delhi,Bengaluru,T30,36-45,Male,10.0,Mandate,Verified
INV000023,12-07-2023,119002,Redemption,50000,Delhi,Bengaluru,T30,36-45,Male,10.0,Mandate,Verified
INV000023,15-06-2024,120841,Redemption,1000,Delhi,Bengaluru,T30,36-45,Male,10.0,UPI,Verified
INV000023,03-06-2024,120848,Redemption,1000,Delhi,Bengaluru,T30,36-45,Male,10.0,Net Banking,Verified
INV000023,22-02-2022,120841,SIP,3000,Delhi,Bengaluru,T30,36-45,Male,10.0,Cheque,Verified
INV000023,17-04-2025,119551,SIP,10000,Delhi,Bengaluru,T30,36-45,Male,10.0,Cheque,Verified
INV000023,24-03-2022,118989,Lumpsum,1000,Delhi,Bengaluru,T30,36-45,Male,10.0,Cheque,Verified
INV000023,27-08-2025,120511,SIP,100000,Delhi,Bengaluru,T30,36-45,Male,10.0,UPI,Verified
INV000024,16-04-2024,125360,SIP,25000,Pune,Delhi,T30,56+,Male,12.9,UPI,Verified
INV000024,26-11-2022,125360,Lumpsum,2000,Pune,Delhi,T30,56+,Male,12.9,Mandate,Verified
INV000024,14-08-2023,125362,Redemption,100000,Pune,Delhi,T30,56+,Male,12.9,UPI,Verified
INV000024,20-07-2024,120841,SIP,100000,Pune,Delhi,T30,56+,Male,12.9,Net Banking,Verified
INV000024,25-10-2023,120716,Lumpsum,10000,Pune,Delhi,T30,56+,Male,12.9,Cheque,Verified
INV000024,03-01-2022,119004,Lumpsum,1000,Pune,Delhi,T30,56+,Male,12.9,Mandate,Verified
INV000024,22-04-2022,120846,Redemption,25000,Pune,Delhi,T30,56+,Male,12.9,Net Banking,Verified
INV000024,29-06-2025,119001,Lumpsum,3000,Pune,Delhi,T30,56+,Male,12.9,UPI,Verified
INV000024,21-02-2023,119849,Redemption,3000,Pune,Delhi,T30,56+,Male,12.9,UPI,Verified
INV000024,13-08-2023,120511,Lumpsum,25000,Pune,Delhi,T30,56+,Male,12.9,UPI,Verified
INV000024,01-03-2022,119008,SIP,5000,Pune,Delhi,T30,56+,Male,12.9,UPI,Verified
INV000025,21-08-2022,120850,SIP,100000,Maharashtra,Patna,B30,36-45,Female,28.8,UPI,Verified
INV000025,17-10-2024,120507,Redemption,100000,Maharashtra,Patna,B30,36-45,Female,28.8,Net Banking,Verified
INV000025,30-04-2024,119000,Lumpsum,25000,Maharashtra,Patna,B30,36-45,Female,28.8,UPI,Verified
INV000025,24-07-2024,119005,SIP,5000,Maharashtra,Patna,B30,36-45,Female,28.8,Mandate,Verified
INV000025,26-01-2023,119008,Redemption,3000,Maharashtra,Patna,B30,36-45,Female,28.8,UPI,Verified
INV000025,23-05-2022,119849,Lumpsum,100000,Maharashtra,Patna,B30,36-45,Female,28.8,Net Banking,Verified
INV000025,05-11-2024,119849,SIP,10000,Maharashtra,Patna,B30,36-45,Female,28.8,Net Banking,Verified
INV000025,04-09-2023,119007,Redemption,1000,Maharashtra,Patna,B30,36-45,Female,28.8,Mandate,Verified
INV000025,01-11-2022,120511,Redemption,2000,Maharashtra,Patna,B30,36-45,Female,28.8,Mandate,Verified
INV000026,22-10-2023,120846,SIP,25000,Uttar Pradesh,Patna,B30,36-45,Male,12.5,Cheque,Verified
INV000026,24-02-2024,120717,Lumpsum,5000,Uttar Pradesh,Patna,B30,36-45,Male,12.5,UPI,Verified
INV000026,14-10-2023,119000,Lumpsum,500,Uttar Pradesh,Patna,B30,36-45,Male,12.5,Mandate,Verified
INV000026,21-09-2025,119847,Lumpsum,2000,Uttar Pradesh,Patna,B30,36-45,Male,12.5,UPI,Verified
INV000026,16-09-2022,119002,Redemption,100000,Uttar Pradesh,Patna,B30,36-45,Male,12.5,Net Banking,Verified
INV000026,25-07-2022,120511,SIP,3000,Uttar Pradesh,Patna,B30,36-45,Male,12.5,Cheque,Verified
INV000027,13-11-2022,119092,Lumpsum,50000,Kerala,Kolkata,T30,46-55,Male,3.3,Net Banking,Verified
INV000027,25-11-2023,119009,Lumpsum,500,Kerala,Kolkata,T30,46-55,Male,3.3,UPI,Verified
INV000027,04-11-2023,119004,Lumpsum,3000,Kerala,Kolkata,T30,46-55,Male,3.3,Net Banking,Verified
INV000027,07-07-2025,119001,Redemption,10000,Kerala,Kolkata,T30,46-55,Male,3.3,UPI,Verified
INV000028,05-07-2022,119555,SIP,3000,Tamil Nadu,Coimbatore,B30,56+,Male,3.3,UPI,Pending
INV000028,27-06-2024,120505,SIP,500,Tamil Nadu,Coimbatore,B30,56+,Male,3.3,UPI,Pending
INV000028,05-04-2022,120848,SIP,50000,Tamil Nadu,Coimbatore,B30,56+,Male,3.3,Net Banking,Pending
INV000028,05-01-2024,119553,Lumpsum,100000,Tamil Nadu,Coimbatore,B30,56+,Male,3.3,UPI,Pending
INV000029,11-06-2022,119009,Lumpsum,100000,West Bengal,Bhopal,B30,26-35,Female,6.6,Cheque,Verified
INV000029,31-10-2025,125358,Lumpsum,50000,West Bengal,Bhopal,B30,26-35,Female,6.6,Cheque,Verified
INV000029,21-10-2022,120717,Lumpsum,1000,West Bengal,Bhopal,B30,26-35,Female,6.6,Net Banking,Verified
INV000029,30-07-2024,125496,SIP,1000,West Bengal,Bhopal,B30,26-35,Female,6.6,Mandate,Verified
INV000029,13-08-2023,119004,SIP,3000,West Bengal,Bhopal,B30,26-35,Female,6.6,UPI,Verified
