amfi_code	report_date	stock_symbol	stock_name	sector	weight_pct
119092	31-12-2025	BHARTIARTL	Airtel	Telecom	7.56
119092	31-12-2025	RELIANCE	Reliance Industries	Energy	9.78
119092	31-12-2025	ICICIBANK	ICICI Bank	Banking	3.38
119092	31-12-2025	ULTRACEMCO	UltraTech	Cement	18.27
119092	31-12-2025	TITAN	Titan	Consumer	13.57
119092	31-12-2025	AXISBANK	Axis Bank	Banking	3.87
119092	31-12-2025	HINDUNILVR	HUL	FMCG	12.48
119092	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	5.08
119092	31-12-2025	NESTLEIND	Nestle	FMCG	26
120841	31-12-2025	AXISBANK	Axis Bank	Banking	6.91
120841	31-12-2025	ITC	ITC	FMCG	1.21
120841	31-12-2025	LT	L&T	Infrastructure	15.57
120841	31-12-2025	ULTRACEMCO	UltraTech	Cement	6.03
120841	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	21.61
120841	31-12-2025	MARUTI	Maruti Suzuki	Auto	6.69
120841	31-12-2025	INFY	Infosys	IT	3.37
120841	31-12-2025	RELIANCE	Reliance Industries	Energy	22.56
120841	31-12-2025	KOTAKBANK	Kotak Bank	Banking	6.56
120841	31-12-2025	ICICIBANK	ICICI Bank	Banking	9.49
125354	31-12-2025	KOTAKBANK	Kotak Bank	Banking	2.54
125354	31-12-2025	LT	L&T	Infrastructure	1.83
125354	31-12-2025	HDFCBANK	HDFC Bank	Banking	7.1
125354	31-12-2025	ULTRACEMCO	UltraTech	Cement	1.62
125354	31-12-2025	BHARTIARTL	Airtel	Telecom	10.52
125354	31-12-2025	AXISBANK	Axis Bank	Banking	21.2
125354	31-12-2025	ASIANPAINT	Asian Paints	Consumer	25.17
125354	31-12-2025	WIPRO	Wipro	IT	0.62
125354	31-12-2025	TCS	TCS	IT	13.27
125354	31-12-2025	RELIANCE	Reliance Industries	Energy	11.04
125354	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	5.11
120716	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	13.06
120716	31-12-2025	HDFCBANK	HDFC Bank	Banking	3.82
120716	31-12-2025	TITAN	Titan	Consumer	8.34
120716	31-12-2025	RELIANCE	Reliance Industries	Energy	8.78
120716	31-12-2025	ICICIBANK	ICICI Bank	Banking	13.07
120716	31-12-2025	INFY	Infosys	IT	15.03
120716	31-12-2025	ITC	ITC	FMCG	25.71
120716	31-12-2025	BHARTIARTL	Airtel	Telecom	12.19
125494	31-12-2025	ASIANPAINT	Asian Paints	Consumer	16.08
125494	31-12-2025	MARUTI	Maruti Suzuki	Auto	4.89
125494	31-12-2025	KOTAKBANK	Kotak Bank	Banking	8.19
125494	31-12-2025	ULTRACEMCO	UltraTech	Cement	5.87
125494	31-12-2025	NESTLEIND	Nestle	FMCG	28.36
125494	31-12-2025	RELIANCE	Reliance Industries	Energy	6.79
125494	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	15.4
125494	31-12-2025	ITC	ITC	FMCG	5.32
125494	31-12-2025	BHARTIARTL	Airtel	Telecom	9.1
119847	31-12-2025	HDFCBANK	HDFC Bank	Banking	14.33
119847	31-12-2025	TITAN	Titan	Consumer	39.74
119847	31-12-2025	ITC	ITC	FMCG	3.54
119847	31-12-2025	ASIANPAINT	Asian Paints	Consumer	13.97
119847	31-12-2025	LT	L&T	Infrastructure	8.29
119847	31-12-2025	TCS	TCS	IT	8.59
119847	31-12-2025	MARUTI	Maruti Suzuki	Auto	0.43
119847	31-12-2025	AXISBANK	Axis Bank	Banking	11.11
120505	31-12-2025	MARUTI	Maruti Suzuki	Auto	2.43
120505	31-12-2025	ASIANPAINT	Asian Paints	Consumer	2.64
120505	31-12-2025	ULTRACEMCO	UltraTech	Cement	5.26
120505	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	29.28
120505	31-12-2025	TCS	TCS	IT	1.46
120505	31-12-2025	SBIN	SBI	Banking	7.41
120505	31-12-2025	INFY	Infosys	IT	12.64
120505	31-12-2025	WIPRO	Wipro	IT	4.43
120505	31-12-2025	NESTLEIND	Nestle	FMCG	9.52
120505	31-12-2025	TITAN	Titan	Consumer	15.6
120505	31-12-2025	HINDUNILVR	HUL	FMCG	9.35
118989	31-12-2025	TCS	TCS	IT	24.6
118989	31-12-2025	NESTLEIND	Nestle	FMCG	7.78
118989	31-12-2025	MARUTI	Maruti Suzuki	Auto	1.72
118989	31-12-2025	ULTRACEMCO	UltraTech	Cement	12.55
118989	31-12-2025	HINDUNILVR	HUL	FMCG	10.59
118989	31-12-2025	AXISBANK	Axis Bank	Banking	2.47
118989	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	13.54
118989	31-12-2025	INFY	Infosys	IT	17.66
118989	31-12-2025	RELIANCE	Reliance Industries	Energy	6.77
118989	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	2.3
120846	31-12-2025	BHARTIARTL	Airtel	Telecom	2.89
120846	31-12-2025	ULTRACEMCO	UltraTech	Cement	4.54
120846	31-12-2025	ICICIBANK	ICICI Bank	Banking	22.85
120846	31-12-2025	SBIN	SBI	Banking	15.57
120846	31-12-2025	INFY	Infosys	IT	1.9
120846	31-12-2025	RELIANCE	Reliance Industries	Energy	9.5
120846	31-12-2025	TITAN	Titan	Consumer	5.28
120846	31-12-2025	ITC	ITC	FMCG	11.21
120846	31-12-2025	TCS	TCS	IT	19.88
120846	31-12-2025	NESTLEIND	Nestle	FMCG	6.4
125356	31-12-2025	AXISBANK	Axis Bank	Banking	10.32
125356	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	22.79
125356	31-12-2025	ASIANPAINT	Asian Paints	Consumer	7.54
125356	31-12-2025	SBIN	SBI	Banking	7.84
125356	31-12-2025	ICICIBANK	ICICI Bank	Banking	15.91
125356	31-12-2025	RELIANCE	Reliance Industries	Energy	1.73
125356	31-12-2025	NESTLEIND	Nestle	FMCG	6.83
125356	31-12-2025	WIPRO	Wipro	IT	23.39
125356	31-12-2025	TITAN	Titan	Consumer	3.64
120717	31-12-2025	BHARTIARTL	Airtel	Telecom	2.46
120717	31-12-2025	RELIANCE	Reliance Industries	Energy	15.39
120717	31-12-2025	ITC	ITC	FMCG	21.1
120717	31-12-2025	KOTAKBANK	Kotak Bank	Banking	7.49
120717	31-12-2025	HINDUNILVR	HUL	FMCG	21.43
120717	31-12-2025	ASIANPAINT	Asian Paints	Consumer	2.85
120717	31-12-2025	HDFCBANK	HDFC Bank	Banking	2.86
120717	31-12-2025	TITAN	Titan	Consumer	9.65
120717	31-12-2025	SBIN	SBI	Banking	4.59
120717	31-12-2025	MARUTI	Maruti Suzuki	Auto	12.18
125358	31-12-2025	AXISBANK	Axis Bank	Banking	2.36
125358	31-12-2025	LT	L&T	Infrastructure	1.49
125358	31-12-2025	KOTAKBANK	Kotak Bank	Banking	14.4
125358	31-12-2025	SBIN	SBI	Banking	10.12
125358	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	3.86
125358	31-12-2025	ICICIBANK	ICICI Bank	Banking	5.86
125358	31-12-2025	TITAN	Titan	Consumer	22.66
125358	31-12-2025	ULTRACEMCO	UltraTech	Cement	2.8
125358	31-12-2025	HINDUNILVR	HUL	FMCG	14.94
125358	31-12-2025	WIPRO	Wipro	IT	16.12
125358	31-12-2025	ITC	ITC	FMCG	5.39
125496	31-12-2025	ICICIBANK	ICICI Bank	Banking	6.57
125496	31-12-2025	HINDUNILVR	HUL	FMCG	22.54
125496	31-12-2025	AXISBANK	Axis Bank	Banking	12.22
125496	31-12-2025	WIPRO	Wipro	IT	22.08
125496	31-12-2025	ITC	ITC	FMCG	0.98
125496	31-12-2025	KOTAKBANK	Kotak Bank	Banking	2.32
125496	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	4.96
125496	31-12-2025	HDFCBANK	HDFC Bank	Banking	7.16
125496	31-12-2025	ASIANPAINT	Asian Paints	Consumer	3.19
125496	31-12-2025	INFY	Infosys	IT	17.99
119849	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	6.56
119849	31-12-2025	WIPRO	Wipro	IT	4.05
119849	31-12-2025	AXISBANK	Axis Bank	Banking	19.81
119849	31-12-2025	ASIANPAINT	Asian Paints	Consumer	8.78
119849	31-12-2025	ULTRACEMCO	UltraTech	Cement	5.27
119849	31-12-2025	HINDUNILVR	HUL	FMCG	3.32
119849	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	33.1
119849	31-12-2025	KOTAKBANK	Kotak Bank	Banking	8.59
119849	31-12-2025	RELIANCE	Reliance Industries	Energy	10.53
120507	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	4.79
120507	31-12-2025	RELIANCE	Reliance Industries	Energy	21.77
120507	31-12-2025	ASIANPAINT	Asian Paints	Consumer	0.56
120507	31-12-2025	ULTRACEMCO	UltraTech	Cement	3.51
120507	31-12-2025	MARUTI	Maruti Suzuki	Auto	6.06
120507	31-12-2025	ICICIBANK	ICICI Bank	Banking	4.71
120507	31-12-2025	LT	L&T	Infrastructure	6.74
120507	31-12-2025	BHARTIARTL	Airtel	Telecom	22.39
120507	31-12-2025	SBIN	SBI	Banking	7.37
120507	31-12-2025	TCS	TCS	IT	3.31
120507	31-12-2025	INFY	Infosys	IT	18.8
118991	31-12-2025	ITC	ITC	FMCG	14.4
118991	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	4.59
118991	31-12-2025	AXISBANK	Axis Bank	Banking	17.93
118991	31-12-2025	ULTRACEMCO	UltraTech	Cement	12.81
118991	31-12-2025	TITAN	Titan	Consumer	20.42
118991	31-12-2025	BHARTIARTL	Airtel	Telecom	17.6
118991	31-12-2025	ICICIBANK	ICICI Bank	Banking	10.37
118991	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	1.87
120848	31-12-2025	NESTLEIND	Nestle	FMCG	7.83
120848	31-12-2025	ULTRACEMCO	UltraTech	Cement	15.74
120848	31-12-2025	BHARTIARTL	Airtel	Telecom	7.19
120848	31-12-2025	AXISBANK	Axis Bank	Banking	8.68
120848	31-12-2025	KOTAKBANK	Kotak Bank	Banking	5.56
120848	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	4.52
120848	31-12-2025	MARUTI	Maruti Suzuki	Auto	12.4
120848	31-12-2025	SBIN	SBI	Banking	7.81
120848	31-12-2025	LT	L&T	Infrastructure	12.18
120848	31-12-2025	TCS	TCS	IT	18.11
125360	31-12-2025	HDFCBANK	HDFC Bank	Banking	12.02
125360	31-12-2025	SBIN	SBI	Banking	7.48
125360	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	5.7
125360	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	26.54
125360	31-12-2025	LT	L&T	Infrastructure	2.11
125360	31-12-2025	ULTRACEMCO	UltraTech	Cement	10.02
125360	31-12-2025	MARUTI	Maruti Suzuki	Auto	2.74
125360	31-12-2025	HINDUNILVR	HUL	FMCG	12.54
125360	31-12-2025	WIPRO	Wipro	IT	6.49
125360	31-12-2025	TCS	TCS	IT	13.67
125360	31-12-2025	BHARTIARTL	Airtel	Telecom	0.69
125499	31-12-2025	INFY	Infosys	IT	2.46
125499	31-12-2025	TITAN	Titan	Consumer	19.18
125499	31-12-2025	HDFCBANK	HDFC Bank	Banking	29.98
125499	31-12-2025	LT	L&T	Infrastructure	13.77
125499	31-12-2025	KOTAKBANK	Kotak Bank	Banking	13.26
125499	31-12-2025	WIPRO	Wipro	IT	2.03
125499	31-12-2025	ULTRACEMCO	UltraTech	Cement	13.92
125499	31-12-2025	SBIN	SBI	Banking	5.41
119553	31-12-2025	MARUTI	Maruti Suzuki	Auto	5.26
119553	31-12-2025	KOTAKBANK	Kotak Bank	Banking	9.89
119553	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	12.51
119553	31-12-2025	ITC	ITC	FMCG	10.52
119553	31-12-2025	RELIANCE	Reliance Industries	Energy	8.45
119553	31-12-2025	BHARTIARTL	Airtel	Telecom	17.22
119553	31-12-2025	ICICIBANK	ICICI Bank	Banking	15.13
119553	31-12-2025	TITAN	Titan	Consumer	8.56
119553	31-12-2025	HDFCBANK	HDFC Bank	Banking	4.19
119553	31-12-2025	SBIN	SBI	Banking	8.28
120509	31-12-2025	HINDUNILVR	HUL	FMCG	8.63
120509	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	6.5
120509	31-12-2025	LT	L&T	Infrastructure	19.05
120509	31-12-2025	TCS	TCS	IT	9.23
120509	31-12-2025	ITC	ITC	FMCG	24.84
120509	31-12-2025	SBIN	SBI	Banking	23.27
120509	31-12-2025	WIPRO	Wipro	IT	1.75
120509	31-12-2025	TITAN	Titan	Consumer	6.73
125362	31-12-2025	HINDUNILVR	HUL	FMCG	7.43
125362	31-12-2025	TCS	TCS	IT	0.94
125362	31-12-2025	ICICIBANK	ICICI Bank	Banking	8.45
125362	31-12-2025	MARUTI	Maruti Suzuki	Auto	17.68
125362	31-12-2025	SBIN	SBI	Banking	15.45
125362	31-12-2025	ASIANPAINT	Asian Paints	Consumer	19.85
125362	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	9.93
125362	31-12-2025	KOTAKBANK	Kotak Bank	Banking	20.26
125501	31-12-2025	HDFCBANK	HDFC Bank	Banking	24.44
125501	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	13.21
125501	31-12-2025	LT	L&T	Infrastructure	35.1
125501	31-12-2025	INFY	Infosys	IT	3.94
125501	31-12-2025	TCS	TCS	IT	14.63
125501	31-12-2025	TITAN	Titan	Consumer	6.11
125501	31-12-2025	WIPRO	Wipro	IT	0.63
125501	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	1.94
119555	31-12-2025	KOTAKBANK	Kotak Bank	Banking	5.21
119555	31-12-2025	TCS	TCS	IT	5.79
119555	31-12-2025	LT	L&T	Infrastructure	23.2
119555	31-12-2025	AXISBANK	Axis Bank	Banking	13.23
119555	31-12-2025	ITC	ITC	FMCG	11.68
119555	31-12-2025	NESTLEIND	Nestle	FMCG	7.9
119555	31-12-2025	ULTRACEMCO	UltraTech	Cement	26.05
119555	31-12-2025	HINDUNILVR	HUL	FMCG	6.94
120511	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	25.16
120511	31-12-2025	HDFCBANK	HDFC Bank	Banking	23.19
120511	31-12-2025	KOTAKBANK	Kotak Bank	Banking	8.77
120511	31-12-2025	LT	L&T	Infrastructure	9.85
120511	31-12-2025	NESTLEIND	Nestle	FMCG	5.67
120511	31-12-2025	WIPRO	Wipro	IT	1.48
120511	31-12-2025	HINDUNILVR	HUL	FMCG	6.7
120511	31-12-2025	AXISBANK	Axis Bank	Banking	7.43
120511	31-12-2025	TCS	TCS	IT	11.76
120850	31-12-2025	INFY	Infosys	IT	9.41
120850	31-12-2025	AXISBANK	Axis Bank	Banking	4.58
120850	31-12-2025	RELIANCE	Reliance Industries	Energy	0.75
120850	31-12-2025	HDFCBANK	HDFC Bank	Banking	9.39
120850	31-12-2025	TCS	TCS	IT	11.9
120850	31-12-2025	KOTAKBANK	Kotak Bank	Banking	20.96
120850	31-12-2025	SBIN	SBI	Banking	7.63
120850	31-12-2025	WIPRO	Wipro	IT	12.37
120850	31-12-2025	ASIANPAINT	Asian Paints	Consumer	23.01
