month	category	net_inflow_crore	gross_purchase_crore	gross_redemption_crore
2024-08	Mid Cap	6818	12272	5454
2024-08	Small Cap	7424	13363	5939
2024-08	ELSS	5757	10363	4606
2024-08	Liquid	2044	3680	1635
2024-08	Short Duration	1105	1989	884
2024-08	Flexi Cap	157	283	126
2024-08	Aggressive Hybrid	3385	6092	2708
2024-08	Multi Cap	2825	5084	2260
2024-08	Index Funds	2669	4804	2135
2024-08	Gilt	1162	2092	930
2024-08	Overnight	3819	6875	3055
2024-09	Large Cap	4079	7343	3263
2024-09	Mid Cap	6752	12154	5402
2024-09	Small Cap	5614	10105	4491
2024-09	ELSS	1299	2338	1039
2024-09	Liquid	1795	3232	1436
2024-09	Short Duration	395	711	316
2024-09	Flexi Cap	-291	525	233
2024-09	Aggressive Hybrid	-911	1640	729
2024-09	Multi Cap	-1659	2986	1327
2024-09	Index Funds	2177	3918	1741
2024-09	Gilt	7591	13664	6073
2024-09	Overnight	3380	6084	2704
2024-10	Large Cap	5422	9759	4337
2024-10	Mid Cap	1977	3559	1582
2024-10	Small Cap	1844	3319	1475
2024-10	ELSS	-748	1346	598
2024-10	Liquid	999	1797	799
2024-10	Short Duration	7287	13116	5829
2024-10	Flexi Cap	2902	5224	2322
2024-10	Aggressive Hybrid	43	78	35
2024-10	Multi Cap	4638	8348	3710
2024-10	Index Funds	2054	3698	1644
2024-10	Gilt	6273	11292	5019
2024-10	Overnight	-1072	1929	857
2024-11	Large Cap	3218	5793	2574
2024-11	Mid Cap	6012	10822	4810
2024-11	Small Cap	6538	11768	5230
2024-11	ELSS	1963	3534	1571
2024-11	Liquid	5410	9739	4328
2024-11	Short Duration	7657	13783	6126
2024-11	Flexi Cap	4219	7595	3375
2024-11	Aggressive Hybrid	6116	11009	4893
2024-11	Multi Cap	3737	6727	2990
2024-11	Index Funds	5902	10624	4722
2024-11	Gilt	7407	13333	5926
2024-11	Overnight	5115	9206	4092
2024-12	Large Cap	-456	820	365
2024-12	Mid Cap	-1181	2125	945
2024-12	Small Cap	6121	11018	4897
2024-12	ELSS	584	1051	467
2024-12	Liquid	6753	12155	5402
2024-12	Short Duration	-38	69	31
2024-12	Flexi Cap	7110	12799	5688
2024-12	Aggressive Hybrid	6052	10894	4842
2024-12	Multi Cap	6813	12263	5450
2024-12	Index Funds	327	589	262
2024-12	Gilt	6785	12214	5428
2024-12	Overnight	3876	6976	3100
2025-01	Large Cap	-1160	2088	928
2025-01	Mid Cap	7310	13159	5848
2025-01	Small Cap	-54	96	43
2025-01	ELSS	135	243	108
2025-01	Liquid	5040	9073	4032
2025-01	Short Duration	3831	6895	3065
2025-01	Flexi Cap	7030	12654	5624
2025-01	Aggressive Hybrid	1070	1925	856
2025-01	Multi Cap	-1583	2849	1266
2025-01	Index Funds	7950	14310	6360
2025-01	Gilt	1127	2029	902
2025-01	Overnight	-381	685	305
2025-02	Large Cap	7844	14119	6275
2025-02	Mid Cap	3629	6532	2903
2025-02	Small Cap	-511	921	409
2025-02	ELSS	6358	11445	5087
2025-02	Liquid	7454	13418	5963
2025-02	Short Duration	6813	12263	5450
2025-02	Flexi Cap	-14	25	11
2025-02	Aggressive Hybrid	-1473	2652	1178
2025-02	Multi Cap	1713	3083	1370
2025-02	Index Funds	1548	2787	1239
2025-02	Gilt	2059	3707	1647
2025-02	Overnight	5990	10782	4792
2025-03	Large Cap	-1904	3426	1523
2025-03	Mid Cap	4748	8547	3799
2025-03	Small Cap	7852	14133	6281
2025-03	ELSS	1992	3585	1593
2025-03	Liquid	2851	5131	2280
2025-03	Short Duration	4280	7704	3424
2025-03	Flexi Cap	856	1541	685
2025-03	Aggressive Hybrid	5185	9333	4148
2025-03	Multi Cap	30	54	24
2025-03	Index Funds	-1352	2434	1082
2025-03	Gilt	6013	10824	4811
2025-03	Overnight	-235	423	188
