amfi_code,cagr_3yr_pct,sharpe_ratio,volatility_pct,alpha,beta,max_drawdown_pct,scheme_name,fund_house,category,sub_category,expense_ratio_pct,score_3yr,score_sharpe,score_alpha,score_er,score_dd,composite_score,rank
120716,6.6446,0.6034,82.9177,118.3066,0.1075,-65.1582,DSP Top 100 Equity Fund Direct Growth,DSP Mutual Fund,Equity,Large Cap,1.25,17.5,37.5,45.0,100.0,15.0,40.1,29
119849,4.5167,0.5367,110.7236,183.368,-0.4264,-52.1271,SBI Small Cap Fund Direct Growth,SBI Mutual Fund,Equity,Small Cap,0.72,32.5,47.5,20.0,46.25,52.5,37.8,30
119006,6.8032,0.5786,74.0123,107.5738,-0.0254,-56.4381,HDFC Hybrid Equity Fund Direct Growth,HDFC Mutual Fund,Hybrid,Aggressive Hybrid,0.8,12.5,42.5,55.00000000000001,50.0,35.0,36.4,31
125496,6.7777,0.6399,109.9999,150.8534,0.3492,-54.0454,HDFC Small Cap Fund Direct Growth,HDFC Mutual Fund,Equity,Small Cap,0.65,15.0,30.0,32.5,37.5,45.0,28.6,32
118991,2.0446,0.7029,192.7944,407.0559,-1.0691,-69.8243,Nippon India Small Cap Fund Direct Growth,Nippon India Mutual Fund,Equity,Small Cap,0.82,42.5,22.5,2.5,52.5,7.5,27.5,33
125354,7.5069,0.6122,100.449,127.3508,0.5018,-56.1474,Mirae Asset Large Cap Fund Direct Growth,Mirae Asset Mutual Fund,Equity,Large Cap,0.54,10.0,35.0,40.0,22.5,37.5,26.9,34
120511,13.9329,0.6557,96.8796,154.0506,0.0479,-64.3279,ICICI Prudential Flexicap Fund Direct Growth,ICICI Prudential Mutual Fund,Equity,Flexi Cap,0.99,2.5,25.0,27.500000000000004,75.0,22.5,26.0,35
120848,3.6725,0.7427,134.7675,216.6358,0.631,-58.9706,Kotak Small Cap Fund Direct Growth,Kotak Mahindra Mutual Fund,Equity,Small Cap,0.61,37.5,15.0,12.5,35.0,30.0,25.8,36
120717,10.8762,0.6537,98.5486,151.8892,0.0626,-62.1875,DSP Midcap Fund Direct Growth,DSP Mutual Fund,Equity,Mid Cap,0.87,5.0,27.500000000000004,30.0,56.25,25.0,25.3,37
125497,8.0036,0.7758,105.2217,174.7527,0.4312,-68.0104,HDFC Top 100 Fund Direct Growth,HDFC Mutual Fund,Equity,Large Cap,0.95,7.5,7.5,25.0,71.25,10.0,20.8,38
120846,6.226,0.7745,118.9549,215.9949,0.1044,-64.417,Kotak Emerging Equity Fund Direct Growth,Kotak Mahindra Mutual Fund,Equity,Mid Cap,0.68,20.0,10.0,15.0,40.0,20.0,19.5,39
125358,6.1927,0.8173,123.5805,222.6864,0.3605,-67.1413,Axis Midcap Fund Direct Growth,Axis Mutual Fund,Equity,Mid Cap,0.52,22.5,2.5,10.0,17.5,12.5,13.2,40
